Name,Smiles
111,Cc1csc(NC(=O)C2CCCC2)n1
112,NS(=O)(=O)c1ccccc1NC(=O)c1c(O)nc2ccccc2c1O
113,Cc1s/c(=N\C(=O)c2ccco2)n(C)c1-c1ccccc1
114,COc1ccc(C(CC(=O)c2ccc(O)cc2)S(=O)(=O)c2ccc(C)cc2)cc1
115,O=C(CCSc1ccc(Cl)cc1)N1CCN(c2ncccn2)CC1
116,Cc1cccnc1N=C(S)Nc1ccc(Br)cc1Cl
117,C/C(=N\Nc1ccccc1C(=O)O)c1ccncc1
118,COc1cc(/C=N/Nc2ccccc2[N+](=O)[O-])ccc1OC(=O)c1ccccc1F
119,CCC(=O)Nc1cccc(NC(=O)c2cc3ccccc3o2)c1
120,O=C(Nc1nc2ccsc2c(=O)s1)c1ccc(F)cc1Cl
121,Cc1n[nH]c(O)c1C(c1ccc(-c2cccc(C(=O)O)c2)o1)c1c(C)n[nH]c1O
122,Cc1csc(SCC(=O)Nc2sccc2C#N)n1
123,COc1ccc(N2C(=O)c3ccccc3NC23CCCCC3)cc1
124,CC(C)c1ccc(NC(=O)Nc2nc(CN)cs2)cc1
125,Cc1cc(=O)oc2cc(NC(=O)c3cc(F)ccc3F)ccc12
126,COc1cc2c(cc1NC(=O)CSc1nccn1C)oc1ccccc12
127,Cc1cccnc1NC(=O)Nc1cccc(F)c1
128,CCOc1cccc(C(=O)NC2=NCCS2)c1
129,N#C/C(=N\Nc1ccccc1F)C(=N)N1CCCCC1
130,CCc1ccc(OCC(=O)O/N=C(\N)c2ccncc2)c(Br)c1
131,Nc1ccccc1C(=O)OCC(=O)N1CCc2ccccc21
132,C/C(=N\NC(=O)c1nn(C)c(C)c1Br)c1ccc(NC(=O)c2ccc(C)s2)cc1
133,O=C(N/N=C/c1cccc(Cl)c1Cl)Nc1ccccc1
134,O=C(O)c1ccccc1CSc1nc2ccccc2[nH]1
135,O=C(Nc1ccc2c(c1)OCCO2)c1ccc(Br)cc1
136,Cc1cc(C)c2c(N)c(C(=O)Nc3ccccc3F)sc2n1
137,Cc1nonc1C1CCCN1C(=O)c1cc(COc2ccc(F)cc2Cl)on1
138,CCCC(C)NC(=O)c1cccc(Oc2ccccc2)c1
139,CC1CCc2sc(-c3nnc(S)o3)cc2C1
140,COc1ccc(Cn2c(/C=C/c3ccccc3)nc3ccccc32)cc1
141,Cc1noc(C)c1-c1csc(N2CCC(C(N)=O)CC2)n1.O=C(O)C(F)(F)F
142,CCC1([N+](=O)[O-])COC(C=Cc2ccccc2)OC1
143,Cc1nn(C)c(=O)n1-c1ccc(OCc2ccccc2)cc1
144,Cc1cccc(OCCn2nnc3ccccc32)c1C
145,Cc1cccc(-c2cnn(-c3ccccc3)c2N)c1
146,Cc1ccccc1-c1nc2cc(N)ccc2o1
147,O=C(Nc1cccc([N+](=O)[O-])c1)c1cc[nH]n1
148,Cc1ccc(NC(=O)CSc2nccn2C)cc1F
149,Cc1ccc(C)c(N2CCN(CCCNC(=O)c3ccc4nc(N5CCCCC5)sc4c3)CC2)c1
150,Cc1noc(-c2ccc(N3CCC(C)CC3)c([N+](=O)[O-])c2)n1
151,O=C(c1cc(COc2c(F)cccc2F)on1)N1C[C@H]2CC[C@H]1C2
152,Cc1ccc(-c2nn(-c3ccccc3)cc2/C=N/NC(=O)c2ccncc2)o1
153,N#Cc1ccc(NC(=O)C2=COCCO2)cc1
154,CCCC(=O)n1nc(-c2ccc(C)cc2)nc1NCc1ccco1
155,CCN1C(=O)/C(=C/c2cc(C)n(C)c2C)SC1=S
156,O=C(Nc1nc(-c2ccccc2)cs1)C1CCCO1
157,O=C(c1cnn(-c2ccccc2)c1)c1ccc2ccccc2c1O
158,O=C(Nc1ccc(F)c(F)c1)c1ccc2c(c1)OCO2
159,N=C(NOC(=O)C1CCCCC1)c1ccc(Cl)cc1
160,COCCN(C(=O)c1ccco1)c1nc(-c2ccc(OC)cc2)cs1
161,Cc1oc2ccc(OC(=O)COc3c(F)c(F)c(F)c(F)c3F)cc2c1C(=O)OC(C)C
162,Clc1ccccc1OCc1nnc(-c2ccccc2)o1
163,CCC1CCc2sc(C(=O)NCC3CCCO3)cc2C1
164,Fc1ccccc1-c1nc(-c2ccc(Br)o2)no1
165,COc1ccc(-c2ccc3ccccc3n2)cc1
166,O=C(Nc1nccs1)c1ccc(Cl)s1
167,O=c1c2ccccc2nc2ccc(N3CCOCC3)nn12
168,CC(=O)c1cc2c(C)c(C(=O)c3ccccc3)oc2cc1O
169,OC1(c2cccc(C(F)(F)F)c2)CCN(c2ccc(-c3ccccc3)nn2)CC1
170,C/C(=N\NC(=O)c1cccc(O)c1)c1ccc(NC(=O)Cc2ccccc2)cc1
171,CC1CCCC(C)N1C(=O)c1cc(-c2ccco2)on1
172,CCOC(=O)C(c1nc2ccccc2[nH]1)n1c(-c2ccccn2)nc2ccccc21
173,CCCCc1ccc(Nc2ncccc2C#N)cc1
174,Cc1ccccc1OCCOc1cccc(/C=N/NC(=O)Cc2nnc(N)s2)c1
175,Cn1cc(Br)c(C(=O)Nc2sc3c(c2C(N)=O)CCCC3)n1
176,O=C(Nc1cccnc1)c1ccc2ccccc2c1O
177,O=C(OCc1ccccc1)N1CCc2ccccc21
178,CCOc1ccc2c(c1)S/C(=C\c1cccs1)C(=O)N2
179,CN1CCN(/N=C/c2ccc(Cl)c(Cl)c2)CC1
180,O=C(Nc1nnc(-c2ccccc2)s1)c1ccccc1F
181,COc1ccc(C(=O)NCCNc2ccccc2[N+](=O)[O-])cc1
182,COc1ccc(CSc2nnc(N)s2)cc1F
183,COc1ccc2c(c1OC)C(=O)OC2Nc1nc(-c2cc3ccccc3oc2=O)cs1
184,CN(C(=O)/C=C/c1ccccc1)C1CCCCC1
185,Cc1csc(NC(=O)c2ccoc2C)n1
186,Cc1ccc(-c2csc(NC(=O)C3=COCCO3)n2)cc1
187,Cn1ccc(C(=O)Nc2sc3c(c2C(N)=O)CCCCC3)n1
188,O=C(/C=C/Nc1ccc(Oc2ccccc2Cl)cc1)c1ccco1
189,Nc1nnc(COc2ccc(Br)cc2Br)s1
190,COc1ccc(-c2cc(-c3ccccc3O)[nH]n2)cc1OC
191,COc1ccc2c(c1OC)C(=O)N1c3ccccc3COC21
192,CCC(C)c1ccc(NC(=O)C2CC2)cc1
193,COc1ccc(/C=C/C(=O)c2ccc3c(c2)OCO3)c(OC)c1
194,Oc1ccc(-c2csc(Nc3ncccn3)n2)cc1O
195,CC(=O)c1sc(NC(=O)c2ccc(F)c(F)c2)nc1C
196,CC(=O)Nc1cccc(-c2csc(Nc3ccc(Cl)cn3)n2)c1
197,COc1ccc(N=Nc2c(N)n[nH]c2N)cc1
198,O=C(Nc1ccc(N2CCOCC2)c(Cl)c1)c1ccc(Br)o1
199,COc1cccc(NC(=O)c2ccc3c(c2)OCO3)c1
200,O=Cc1ccc2noc(-c3ccc(F)cc3)c2c1
201,CC1CCN(C(=O)CCCOc2ccc(Cl)cc2)CC1
202,CN(C)c1ccc(C(=O)OCC(=O)c2ccc[nH]2)cc1
203,O=C(O)c1cccc(N/N=C/c2cn(-c3ccccc3)nc2-c2cccs2)c1
204,O=C(c1cc2c(s1)-c1ccccc1OC2)N1CCCC1
205,COc1ccc(Nc2nc(N)nc(CSc3nnc(N)s3)n2)cc1
206,Cc1[nH]c2ccccc2c1C(=O)CSC(=S)N1CCN(C)CC1
207,Cc1ccc2nc(N3CCN(C(=O)c4ccco4)CC3)sc2c1
208,CCN(CC)c1ccc(NC(=O)c2ccc3c(c2)OCO3)cc1
209,O=C(Nc1cccc(Cl)c1Cl)c1csc([C@H]2C[C@H](O)[C@@H](CO)O2)n1
210,COC(=O)CCc1c[nH]c2ccc([N+](=O)[O-])cc12
211,COCC(=O)n1nc(-c2ccccc2)nc1NCc1ccccc1
212,Cn1c(CSc2ccccc2)c(C#N)c2ccccc21
213,Cc1cccc(NC(=O)Nc2ccc(F)cc2)n1
214,Cc1cccc(NC(=O)c2ccc(COc3ccc4ccccc4c3)o2)n1
215,Cc1cccc(Nc2nc(-c3ccc4c(c3)OCCO4)cs2)c1
216,CCN(CC1CCCO1)C(=O)CCc1nnc(CCc2ccccc2)o1
217,Cc1cccc(C(=O)OCC(=O)N2CCCCCC2)c1O
218,CCC(=O)Nc1cccc(-c2nc3ccccc3o2)c1
219,COc1cc2c(cc1NCc1ccc3c(c1)OCO3)oc1ccccc12
220,Nc1nccc(/C=C/c2ccc(Cl)cc2)n1
